EAA, Experimental Aircraft Association
EAB, European American Bank
EAC, Exact Audio Copy
EAD, Encoded Archival Description
EAE, Experimental Autoimmune Encephalomyelitis
EAF, Electric Arc Furnace
EAG, Extended Affix Grammar
EAH, Early Administrative Hearing
EAI, Enterprise Application Integration
EAJ, European Actuarial Journal
EAK, East Africa Kenya
EAL, Evaluation Assurance Level
EAM, Enterprise Asset Management
EAN, European Article Numbering
EAO, European Audiovisual Observatory
EAP, Employee Assistance Program
EAQ, Euro Atlantic Quarterly
EAR, Export Administration Regulations
EAS, Emergency Alert System
EAT, Brinker International, Inc.
EAU, Emiratos Arabes Unidos
EAV, Equalized Assessed Valuation
EAW, Eastern Acoustic Works
EAX, Electronic Automatic Exchange
EAY, Eric A. Young, developer of SSLeay Library
EAZ, East Africa Zanzibar
EBA, Endemic Bird Area
EBB, Electronic Bulletin Board
EBC, Entertainers Basketball Classic
EBD, Electronic Brake force Distribution
EBE, Extraterrestrial Biological Entity
EBF, Ennis Business Forms, Inc.
EBG, Emirates Bank Group
EBH, Embedded Behavioral Health
EBI, European Bioinformatics Institute
EBJ, Esbjerg, Denmark
EBK, Economical Belt Knife
EBL, Extragalactic Background Light
EBM, Evidence Based Medicine
EBN, Educational Bloggers Network
EBO, Ebon, Marshall Islands
EBP, Evidence-Based Practice
EBQ, Economic Batch Quantity
EBR, Experimental Breeder Reactor
EBS, Europe By Satellite
EBT, Electronic Benefits Transfer
EBU, European Broadcasting Union
EBV, Epstein Barr Virus
EBW, Ebolowa Airport, Ebolowa, Republic of Cameroon
EBX, Compiled script (Rational Rose 98)
EBY, Empowered By You
EBZ, Edited by Zach
ECA, Economic Commission for Africa
ECB, European Central Bank
ECC, Error Correcting Code
ECD, Early Childhood Development
ECE, Economic Commission for Europe
ECF, Extracellular Fluid
ECG, ElectroCardioGram
ECH, Enoyl-CoA Hydratase
ECI, Employment Cost Index
ECJ, European Court of Justice
ECK, Error ChecK
ECL, Enhanced Chemiluminescence
ECM, Enterprise Content Management
ECN, Explicit Congestion Notification
ECO, Engineering Change Order
ECP, Extended Capabilities Port
ECQ, East Circular Quay
ECR, Electron Cyclotron Resonance
ECS, Elitegroup Computer Systems
ECT, Electronics &amp; Communications Technology
ECU, East Carolina University
ECV, Extended Content Verification
ECW, Extreme Championship Wrestling
ECX, E Compiler X
ECY, Elbranschens Centrala Yrkesn&auml;mnd
ECZ, ECZaci
EDA, Electronic Design Automation
EDB, Employee Data Base
EDC, Economic Development Corporation
EDD, Employment Development Department
EDE, Encrypt Decrypt Encrypt
EDF, Electricite de France
EDG, Edgewood
EDH, Electronic Document Handling
EDI, Electronic Data Interchange
EDJ, Eric D Johnson
EDK, Exchange Development Kit
EDL, European Day of Languages
EDM, Electronic Document Management
EDN, EarthDay Network
EDO, E D O Corporation
EDP, Eau de Parfum
EDQ, Erandique, Honduras
EDR, Event Data Recorder
EDS, Electronic Data Systems
EDT, Eau De Toilette
EDU, Education
EDV, Elektronische DatenVerarbeitung
